Indonesia;Jakarta;Michael
England;Surabaya;Christopher
USA;Semarang;Jessica
Japan;Bandung;Matthew
China;Palembang;Ashley
Russia;Cambridge;Jennifer
Indonesia;York;Joshua
England;Oxford;Amanda
USA;Nottingham;Daniel
Japan;Brighton;David
China;Denver;James
Russia;Austin;Robert
Indonesia;Dallas;John
England;Houston;Joseph
USA;Boston;Andrew
Japan;Tokyo;Ryan
China;Kyoto;Brandon
Russia;Osaka;Jason
Indonesia;Yokohama;Justin
England;Sapporo;Sarah
USA;Beijing;William
Japan;Shanghai;Jonathan
China;Shenzhen;Stephanie
Russia;Tianjin;Brian
Indonesia;Chongqing;Nicole
England;Moscow;Nicholas
USA;St. Petersburg;Anthony
Japan;Kaliningrad;Heather
China;Krasnodar;Eric
Russia;Korenovsk;Elizabeth
Indonesia;Jakarta;Adam
England;Surabaya;Megan
USA;Semarang;Melissa
Japan;Bandung;Kevin
China;Palembang;Steven
Russia;Cambridge;Thomas
Indonesia;York;Timothy
England;Oxford;Christina
USA;Nottingham;Kyle
Japan;Brighton;Rachel
China;Denver;Laura
Russia;Austin;Lauren
Indonesia;Dallas;Amber
England;Houston;Brittany
USA;Boston;Danielle
Japan;Tokyo;Richard
China;Kyoto;Kimberly
Russia;Osaka;Jeffrey
Indonesia;Yokohama;Amy
England;Sapporo;Crystal
USA;Beijing;Michelle
Japan;Shanghai;Tiffany
China;Shenzhen;Jeremy
Russia;Tianjin;Benjamin
Indonesia;Chongqing;Mark
England;Moscow;Emily
USA;St. Petersburg;Aaron
Japan;Kaliningrad;Charles
China;Krasnodar;Rebecca
Russia;Korenovsk;Jacob
Indonesia;Jakarta;Stephen
England;Surabaya;Patrick
USA;Semarang;Sean
Japan;Bandung;Erin
China;Palembang;Zachary
Russia;Cambridge;Jamie
Indonesia;York;Kelly
England;Oxford;Samantha
USA;Nottingham;Nathan
Japan;Brighton;Sara
China;Denver;Dustin
Russia;Austin;Paul
Indonesia;Dallas;Angela
England;Houston;Tyler
USA;Boston;Scott
Japan;Tokyo;Katherine
China;Kyoto;Andrea
Russia;Osaka;Gregory
Indonesia;Yokohama;Erica
England;Sapporo;Mary
USA;Beijing;Travis
Japan;Shanghai;Lisa
China;Shenzhen;Kenneth
Russia;Tianjin;Bryan
Indonesia;Chongqing;Lindsey
England;Moscow;Kristen
USA;St. Petersburg;Jose
Japan;Kaliningrad;Alexander
China;Krasnodar;Jesse
Russia;Korenovsk;Katie
Indonesia;Jakarta;Lindsay
England;Surabaya;Shannon
USA;Semarang;Vanessa
Japan;Bandung;Courtney
China;Palembang;Christine
Russia;Cambridge;Alicia
Indonesia;York;Cody
England;Oxford;Allison
USA;Nottingham;Bradley
Japan;Brighton;Samuel
